X,Y,Z,x_park
6.061760768718407744e-02,-1.110043767932141989e+00,-1.183674793070034481e-02,7.262514415686489144e+00
6.060229511490303200e-02,-1.110037306032334969e+00,-1.185310497055244716e-02,7.262499018369313220e+00
6.059828510639524157e-02,-1.110110270205193483e+00,-1.167875166347999427e-02,7.262490791591573291e+00
6.061429424339835614e-02,-1.110083619367846275e+00,-1.174096556469050867e-02,7.262508765671810806e+00
6.063356876777435678e-02,-1.110060253215950477e+00,-1.179574187307121103e-02,7.262529916767609173e+00
6.064144626868983590e-02,-1.110084016603221091e+00,-1.173339418217705932e-02,7.262536688436812327e+00
6.062826022294785788e-02,-1.110196800245674131e+00,-1.146087854415352159e-02,7.262516778202147805e+00
6.061623594775948642e-02,-1.110029960056072795e+00,-1.187197509816684260e-02,7.262513779897901145e+00
6.062369819863144826e-02,-1.110055062754727651e+00,-1.180979381367122660e-02,7.262520049434614045e+00
6.061880943663520982e-02,-1.110134611654229664e+00,-1.161728530005606830e-02,7.262510546990895932e+00
6.059039108196563606e-02,-1.110165572850108084e+00,-1.154423905874041312e-02,7.262479560766051279e+00
6.059567262845533264e-02,-1.110004935426115891e+00,-1.193863392788234445e-02,7.262494020969501030e+00
6.061934170440301528e-02,-1.110166657559547909e+00,-1.153621740790097827e-02,7.262509293922509102e+00
6.057356292914799212e-02,-1.110121858856195409e+00,-1.165292380856276788e-02,7.262464697026026705e+00
6.056240934178344637e-02,-1.110108787237158223e+00,-1.168550700154542821e-02,7.262453951919463080e+00
6.057996160661990870e-02,-1.110047164197214720e+00,-1.183480528952036981e-02,7.262475477752006192e+00
6.063152000863718250e-02,-1.110090286910932811e+00,-1.172231874928313100e-02,7.262526119778426548e+00
6.059942799423409521e-02,-1.110132575294482837e+00,-1.162258845503556792e-02,7.262490714718967233e+00
6.060335154568945171e-02,-1.110044414980867034e+00,-1.183954392957448087e-02,7.262499706234792463e+00
6.062208384742084899e-02,-1.110130740424192464e+00,-1.162494560860688475e-02,7.262514134456585779e+00
6.063033647068868937e-02,-1.110074320958027938e+00,-1.175906065058501815e-02,7.262525799176549945e+00
6.061294595391800155e-02,-1.110014937162504767e+00,-1.190847913798660784e-02,7.262511237976241318e+00
6.060789347068532007e-02,-1.110138114021790745e+00,-1.161459001306401617e-02,7.262499115893583657e+00
6.064085850279850309e-02,-1.110123641671922901e+00,-1.163888377936762863e-02,7.262533855752419498e+00
6.064151393232226905e-02,-1.110071417484611134e+00,-1.176482173061485503e-02,7.262537466449609624e+00
6.063186129484429698e-02,-1.110031959624277809e+00,-1.186444077822274012e-02,7.262529750003466233e+00
6.060616359753059901e-02,-1.110145041102172270e+00,-1.159325457307829044e-02,7.262496946378557361e+00
6.057404926090578789e-02,-1.110108737638261678e+00,-1.168771356009684625e-02,7.262465934410218260e+00
6.056377663657926125e-02,-1.110060953319636390e+00,-1.180716898663901337e-02,7.262458045081120694e+00
6.058585222302258211e-02,-1.110044554516344428e+00,-1.184210194789062087e-02,7.262481687251158391e+00
6.061418662932523127e-02,-1.110030581455139664e+00,-1.186703974375293014e-02,7.262511635692827205e+00
6.062054753103926497e-02,-1.110073880505060950e+00,-1.176044958167565824e-02,7.262515748984721853e+00
6.058964749330104926e-02,-1.110075745309747619e+00,-1.176703536141278372e-02,7.262483841292467268e+00
6.060563834900813129e-02,-1.110050468827199266e+00,-1.182349029449679401e-02,7.262501719730715344e+00
6.060490975152435511e-02,-1.109997987320312074e+00,-1.195170773480536131e-02,7.262503919061378710e+00
